PR,URL,HTTP status code,Content type,Is indexable page,Title,Title length,Meta description,Meta description length,H1,H1 length,Meta robots,Robots information in HTTP headers,Canonical URL,Canonical URL code,Size (bytes),No. of content words,Depth,No. of href inlinks,No. of inlinks dofollow,No. of internal outlinks,No. of external outlinks,Loading time (ms),Redirect URL,Redirect URL code,Final redirect URL,Final redirect URL code,Organic traffic,No. of backlinks,No. of dofollow backlinks,No. of nofollow backlinks,No. of referring domains,No. of referring pages
20,https://www.newyorkspecialed.net/districts/nyc-district-19-east-new-york/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 19,33,"Prepare for your Committee on Special Education meeting in District 19. Tips for Related service gaps, school safety/BIP, manifestation hearings.",145,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-19-east-new-york/cse-meeting-guide.html,200,9614,2600,0,8,8,39,0,50,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 30 Astoria Parents | NY Special Ed,70,"A special education parent advocacy guide for NYC District 30 Astoria. Learn about CSE meetings, IEPs, parent rights, and how to advocate effectively for your child.",165,Parent Advocacy Guide for NYC District 30 Astoria,49,,,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria/parent-advocacy-guide.html,200,4955,1124,2,1,1,40,0,76,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 16,39,"Direct phone numbers and emails for District 16 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/leadership-directory.html,200,6347,1547,0,8,8,39,0,97,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 5,39,"Suspension, MDR, and discipline rights for students with disabilities in District 5.",84,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/discipline-rights.html,200,8249,2138,0,9,9,39,0,39,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-04-east-harlem/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 04 East Harlem Parents | NY Special Ed,74,"A parent advocacy guide for special education in NYC District 04 East Harlem. Learn about CSE meetings, IEPs, parent rights, and effective advocacy.",148,Parent Advocacy Guide for NYC District 04 East Harlem,53,,,https://www.newyorkspecialed.net/districts/nyc-district-04-east-harlem/parent-advocacy-guide.html,200,4881,1077,2,1,1,40,0,58,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/hempstead-ufsd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in Hempstead UFSD,42,Step-by-step guide to the 60-day special education evaluation timeline in Hempstead UFSD.,89,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/hempstead-ufsd/evaluation-process.html,200,9544,2545,0,8,8,39,0,36,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 10,33,"Prepare for your Committee on Special Education meeting in District 10. Tips for ICT classroom placement, related services, gifted+IEP.",135,Navigating Your CSE Meeting,27,,,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/cse-meeting-guide.html,200,9472,2558,0,8,8,39,0,48,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 18,40,"Suspension, MDR, and discipline rights for students with disabilities in District 18.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/discipline-rights.html,200,8702,2372,0,8,8,39,0,70,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope/special-ed-updates.html,200,text/html; charset=utf-8,true,District 15 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 15 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 15 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope/special-ed-updates.html,200,6494,1272,1,9,9,40,0,56,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 9,32,"Prepare for your Committee on Special Education meeting in District 9. Tips for Behavioral IEP goals, suspension protections, manifestation determinations.",155,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/cse-meeting-guide.html,200,11644,3583,0,8,8,39,0,39,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 12,39,"Direct phone numbers and emails for District 12 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/leadership-directory.html,200,6217,1549,0,8,8,39,0,94,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 12 Soundview Parents | NY Special Ed,72,"A parent's guide to special education in NYC District 12 Soundview. Learn about CSE meetings, IEPs, parent rights, evaluations, and advocating for your child.",158,Parent Advocacy Guide for NYC District 12 Soundview,51,,,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/parent-advocacy-guide.html,200,4438,934,1,3,3,40,0,39,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 15,39,"Direct phone numbers and emails for District 15 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope/leadership-directory.html,200,6886,1839,0,9,9,39,0,45,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/yonkers-city-sd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in Yonkers City SD,43,Step-by-step guide to the 60-day special education evaluation timeline in Yonkers City SD.,90,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/yonkers-city-sd/evaluation-process.html,200,11245,3497,0,9,9,39,0,53,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 21 Coney Island | NY Special Ed,85,"Navigate special education in NYC District 21, Coney Island. Learn about CSE meetings, IEPs, your rights, and connect with local special education advocates.",157,Special Education Providers in NYC District 21 Coney Island,59,,,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/partners.html,200,5271,830,1,8,8,40,9,35,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-75/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 75 | NY Special Ed,72,Navigating special education in NYC District 75 can be tough. Understand your rights at CSE meetings and connect with local advocates for support.,146,Special Education Providers in NYC District 75,46,,,https://www.newyorkspecialed.net/districts/nyc-district-75/partners.html,200,5217,818,1,9,9,40,9,70,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/special-ed-updates.html,200,text/html; charset=utf-8,true,District 21 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 21 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 21 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/special-ed-updates.html,200,6427,1229,1,8,8,40,0,77,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-29-queens-village/special-ed-updates.html,200,text/html; charset=utf-8,true,District 29 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 29 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 29 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-29-queens-village/special-ed-updates.html,200,6101,1089,1,8,8,40,0,47,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/,200,text/html; charset=utf-8,true,Niagara Falls City SD Special Education Hub | newyorkspecialed.net,66,"Complete guide to Special Education in Niagara Falls City SD. Contacts, CSE meetings, evaluation timelines, and parent rights.",126,Niagara Falls City SD Special Ed Hub,36,,,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/,200,7915,2050,0,1,1,41,0,87,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/newburgh-enlarged-city-sd/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: Newburgh Enlarged City SD,53,"Direct phone numbers and emails for Newburgh Enlarged City SD Committee on Special Education (CSE), CPSE, and leadership offices.",129,,,,,https://www.newyorkspecialed.net/districts/newburgh-enlarged-city-sd/leadership-directory.html,200,6585,1620,0,8,8,39,0,50,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria/,200,text/html; charset=utf-8,true,District 30 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 30. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 30 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria/,200,8317,2155,0,1,1,41,0,14,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-32-bushwick/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 32 Bushwick Parents | NY Special Ed,71,"A parent's guide to special education in NYC District 32 Bushwick. Learn about CSE meetings, IEPs, parent rights, and advocacy for your child.",142,Parent Advocacy Guide for NYC District 32 Bushwick,50,,,https://www.newyorkspecialed.net/districts/nyc-district-32-bushwick/parent-advocacy-guide.html,200,5306,1217,1,3,3,40,0,42,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/yonkers-city-sd/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in Yonkers City SD,44,"Suspension, MDR, and discipline rights for students with disabilities in Yonkers City SD.",89,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/yonkers-city-sd/discipline-rights.html,200,8398,2158,0,9,9,39,0,82,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/special-ed-updates.html,200,text/html; charset=utf-8,true,District 10 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 10 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 10 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/special-ed-updates.html,200,6702,1324,1,8,8,40,0,92,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in Niagara Falls City SD,49,Step-by-step guide to the 60-day special education evaluation timeline in Niagara Falls City SD.,96,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/evaluation-process.html,200,9915,2685,0,8,8,39,0,60,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-20-bay-ridge/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 20,33,"Prepare for your Committee on Special Education meeting in District 20. Tips for Bilingual (Chinese/Arabic/Russian), Orthodox community CPSE, large ASD population.",163,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-20-bay-ridge/cse-meeting-guide.html,200,10091,2822,0,9,9,39,0,64,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/guides/dispute-resolution-ny/,200,text/html; charset=utf-8,true,NY Dispute Resolution & Impartial Hearings | newyorkspecialed.net,65,,,"NY Dispute Resolution & Impartial Hearings
Special Education Dispute Resolution in New York: A Comprehensive Guide","42
71",,,https://www.newyorkspecialed.net/guides/dispute-resolution-ny/,200,6996,1438,0,1,1,35,0,55,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/east-ramapo-csd/evaluation-process.html,200,text/html; charset=utf-8,true,Evaluation Rights — East Ramapo CSD | NY Special Ed — East Ramapo CSD | NY Special Ed,85,Understand your special education evaluation rights in East Ramapo CSD. Learn how to request evaluations and IEEs. Navigate the process effectively.,148,Requesting an Evaluation in East Ramapo CSD,43,,,https://www.newyorkspecialed.net/districts/east-ramapo-csd/evaluation-process.html,200,3104,855,2,8,8,6,0,89,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 2,32,"Prepare for your Committee on Special Education meeting in District 2. Tips for Carter Cases / private placement, gifted+IEP dual advocacy.",139,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side/cse-meeting-guide.html,200,9402,2649,0,9,9,39,0,45,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/freeport-ufsd/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for Freeport UFSD Parents | NY Special Ed,60,A parent's guide to CSE meetings and IEP advocacy in Freeport UFSD. Understand your rights and navigate special education effectively. Get the support your child deserves.,171,Parent Advocacy Guide for Freeport UFSD,39,,,https://www.newyorkspecialed.net/districts/freeport-ufsd/parent-advocacy-guide.html,200,4950,1104,1,3,3,40,0,45,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 5,32,"Prepare for your Committee on Special Education meeting in District 5. Tips for Behavioral supports, related services access, CPSE transition.",142,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/cse-meeting-guide.html,200,9607,2677,0,9,9,39,0,40,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-11-pelham-parkway/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 11,33,"Prepare for your Committee on Special Education meeting in District 11. Tips for ASD evaluations, Italian/Albanian bilingual families, NEST/Horizon.",148,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-11-pelham-parkway/cse-meeting-guide.html,200,10396,3008,0,8,8,39,0,46,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 23,33,"Prepare for your Committee on Special Education meeting in District 23. Tips for Evaluation delays, related service access, D75 referrals.",138,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/cse-meeting-guide.html,200,10030,2674,0,8,8,39,0,52,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-79/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 79,33,"Prepare for your Committee on Special Education meeting in District 79. Tips for IEP in alternative settings, GED+IEP, transfer schools+disability.",147,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-79/cse-meeting-guide.html,200,9549,2593,0,8,8,39,0,59,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/newburgh-enlarged-city-sd/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for Newburgh Enlarged City SD,47,"Prepare for your Committee on Special Education meeting in Newburgh Enlarged City SD. Tips for High needs, bilingual (Spanish), rural-urban mix, evaluation advocacy.",165,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/newburgh-enlarged-city-sd/cse-meeting-guide.html,200,9556,2699,0,8,8,39,0,57,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-06-washington-heights/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 6,38,"Direct phone numbers and emails for District 6 Committee on Special Education (CSE), CPSE, and leadership offices.",114,,,,,https://www.newyorkspecialed.net/districts/nyc-district-06-washington-heights/leadership-directory.html,200,6685,1810,0,9,9,39,0,46,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 5,38,"Direct phone numbers and emails for District 5 Committee on Special Education (CSE), CPSE, and leadership offices.",114,,,,,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/leadership-directory.html,200,6484,1652,0,9,9,39,0,41,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 17,33,"Prepare for your Committee on Special Education meeting in District 17. Tips for Caribbean bilingual evaluations, autism services, CPSE delays.",143,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/cse-meeting-guide.html,200,10102,2773,0,8,8,39,0,98,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 9,38,"Direct phone numbers and emails for District 9 Committee on Special Education (CSE), CPSE, and leadership offices.",114,,,,,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/leadership-directory.html,200,6817,1844,0,8,8,39,0,55,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/,200,text/html; charset=utf-8,true,District 10 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 10. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 10 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/,200,7135,1603,0,1,1,41,0,100,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/white-plains-city-sd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in White Plains City SD,48,Step-by-step guide to the 60-day special education evaluation timeline in White Plains City SD.,95,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/white-plains-city-sd/evaluation-process.html,200,11401,3543,0,8,8,39,0,84,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/newburgh-enlarged-city-sd/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for Newburgh Enlarged City SD Parents | NY Special Ed,72,"A parent's guide to special education in Newburgh Enlarged City SD. Learn about CSE meetings, IEPs, parent rights, and how to advocate for your child's needs.",158,Parent Advocacy Guide for Newburgh Enlarged City SD,51,,,https://www.newyorkspecialed.net/districts/newburgh-enlarged-city-sd/parent-advocacy-guide.html,200,4698,1040,1,3,3,40,0,40,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-07-south-bronx/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 07 South Bronx Parents | NY Special Ed,74,"A parent's guide to special education in NYC District 07 South Bronx. Learn about CSE meetings, IEP development, parent rights, and effective advocacy strategies.",162,Parent Advocacy Guide for NYC District 07 South Bronx,53,,,https://www.newyorkspecialed.net/districts/nyc-district-07-south-bronx/parent-advocacy-guide.html,200,4927,1119,1,3,3,40,0,50,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/syracuse-city-sd/special-ed-updates.html,200,text/html; charset=utf-8,true,Syracuse City SD Special Education: Essential Parent Intel & Updates,68,"Stay ahead of Syracuse City SD special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",146,Syracuse City SD Special Education: Parent Intel,48,,,https://www.newyorkspecialed.net/districts/syracuse-city-sd/special-ed-updates.html,200,7015,1449,1,9,9,40,0,47,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/white-plains-city-sd/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in White Plains City SD | NY Special Ed,77,"Navigating special education in White Plains City SD? Learn about CSE meetings, IEPs, and your rights. Find resources and local advocates in Westchester County.",160,Special Education Providers in White Plains City SD,51,,,https://www.newyorkspecialed.net/districts/white-plains-city-sd/partners.html,200,5330,851,1,8,8,40,9,44,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope/,200,text/html; charset=utf-8,true,District 15 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 15. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 15 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope/,200,7777,1786,0,1,1,41,0,13,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 3,39,"Suspension, MDR, and discipline rights for students with disabilities in District 3.",84,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side/discipline-rights.html,200,9845,2850,0,9,9,39,0,234,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 03 Upper West Side | NY Special Ed,70,A parent's guide to CSE meetings & IEP advocacy in NYC District 03 Upper West Side. Learn about your rights and how to navigate the special education system.,157,Parent Advocacy Guide for NYC District 03 Upper West Side,57,,,https://www.newyorkspecialed.net/districts/nyc-district-03-upper-west-side/parent-advocacy-guide.html,200,4929,1080,2,1,1,40,0,63,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/freeport-ufsd/,200,text/html; charset=utf-8,true,Freeport UFSD Special Education Hub | newyorkspecialed.net,58,"Complete guide to Special Education in Freeport UFSD. Contacts, CSE meetings, evaluation timelines, and parent rights.",118,Freeport UFSD Special Ed Hub,28,,,https://www.newyorkspecialed.net/districts/freeport-ufsd/,200,7286,1726,0,1,1,41,0,54,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-75/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 75 Parents | NY Special Ed,62,A guide for NYC District 75 parents navigating CSE meetings and advocating for IEP services. Understand your rights and secure the best education for your child.,161,Parent Advocacy Guide for NYC District 75,41,,,https://www.newyorkspecialed.net/districts/nyc-district-75/parent-advocacy-guide.html,200,4976,1057,2,1,1,40,0,38,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 12 Soundview | NY Special Ed,82,"Navigating special education in NYC District 12 Soundview? Understand CSE meetings, IEPs, and your rights. Find local parent advocates and essential resources here.",164,Special Education Providers in NYC District 12 Soundview,56,,,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/partners.html,200,5315,836,1,8,8,40,9,83,,,,,0,0,0,0,0,0
